,name,slug,symbol,contract_address,payout_address,total_supply,contract_created_date
0,CryptoPunks,cryptopunks,PUNK,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,9999.0,2018-01-23T04:51:38.832339
1,BoredApeYachtClub,boredapeyachtclub,BAYC,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xaae7ac476b117bccafe2f05f582906be44bc8ff1,10000.0,2021-04-22T03:03:43.731860
2,MutantApeYachtClub,mutant-ape-yacht-club,MAYC,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xaae7ac476b117bccafe2f05f582906be44bc8ff1,16555.0,2021-08-28T23:59:47.536067
3,Cryptoadz,cryptoadz-by-gremplin,TOADZ,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,0x87757c7fd54d892176e9ecec6767bc16e04a06a8,7025.0,2021-09-08T18:42:54.621457
4,Neo Tokyo: Identities,neo-tokyo-identities,NEOTI,0x86357a19e5537a8fba9a004e555713bc943a66c0,0xb616945250ccef6135006a869d0c7f5b1406854c,2018.0,2021-10-03T08:04:56.598515
5,Doodles,doodles-official,DOODLE,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0xdcd382be6cc4f1971c667ffda85c7a287605afe4,9998.0,2021-10-16T16:25:03.736944
6,Cool Cats,cool-cats-nft,COOL,0x1a92f7381b9f03921564a437210bb9396471050c,0xa92a2c6fc87b66fcef969995d84f0b5afb13a355,9933.0,2021-06-27T09:03:34.802601
7,CyberKongz,cyberkongz,KONGZ,0x57a204aa1042f6e66dd7730813f4024114d74f37,0xeef61546a3e2ffe36cf7d9c826c76edcb0dc6e22,4320.0,2021-04-16T19:57:15.011015
8,The Doge Pound,the-doge-pound,DOGGY,0xf4ee95274741437636e748ddac70818b4ed7d043,0x3ad8ec5814cae34264f8c5679951d1d4d9f95b7f,10000.0,2021-07-12T20:13:18.902522
9,Meebits,meebits,âš‡,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,,19998.0,2021-05-03T01:32:40.414383
10,MekaVerse,mekaverse,MEKA,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,0xeb0f137fba2bbd521d81e158b64ace1a88093ad9,8887.0,2021-10-07T20:21:56.075677
11,Creature World,creature-world-collection,CREATURE,0xc92ceddfb8dd984a89fb494c376f9a48b999aafc,0x9d6deb1ae595884b27d6438c65ff96e9177fb64f,10000.0,2021-08-28T19:07:49.046977
12,Lazy Lions,lazy-lions,LION,0x8943c7bac1914c9a7aba750bf2b6b09fd21037e0,0x82888a271fae31794493b9f95d5f0f7175b810e3,10079.0,2021-08-06T03:39:40.774689
13,PudgyPenguins,pudgypenguins,PPG,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,0xe9da256a28630efdc637bfd4c65f0887be1aeda8,8887.0,2021-07-22T12:26:11.045175
14,DeadFellaz,deadfellaz,DEADFELLAZ,0x2acab3dea77832c09420663b0e1cb386031ba17b,0xe9d30eddd11dea8433cf6d2b2c22e9cce94113dc,9997.0,2021-08-13T14:15:17.833175
15,Sneaky Vampire Syndicate,sneaky-vampire-syndicate,SVS,0x219b8ab790decc32444a6600971c7c3718252539,0x1e80fab8ed55d9dc7be4173a6af30ae06cec8ae6,8888.0,2021-09-06T23:35:54.627745
16,BoredApeKennelClub,bored-ape-kennel-club,BAKC,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,0xaf62311ee2224fed4d3884a1793b4c50b86f4462,9602.0,2021-06-18T20:13:59.334091
17,World Of Women,world-of-women-nft,WOW,0xe785e82358879f061bc3dcac6f0444462d4b5330,0xb1ab2274b58b23d2a701f164b9a641efc69bc3f1,10000.0,2021-07-27T11:18:39.596856
18,SupDucks,supducks,SD,0x3fe1a4c1481c8351e91b64d5c398b159de07cbc5,0xa18a2078d44c93867db711ed80c0e2784bb3c8d3,10001.0,2021-07-16T07:26:50.782759
19,Sevens Token,the-sevens-official,SEVENS,0xf497253c2bb7644ebb99e4d9ecc104ae7a79187a,0x36fbd12f67db5216ec609b9c0c0e76e9bee80f99,6999.0,2021-09-03T16:45:09.256927
20,The Humanoids ,thehumanoids,HMNDS,0x3a5051566b2241285be871f650c445a88a970edd,0x89073996276894d2c8770d910d339629eeb2a9d4,10000.0,2021-09-28T10:55:37.386228
21,CryptoDads,thecryptodads,DAD,0xecdd2f733bd20e56865750ebce33f17da0bee461,0xd7bc08fa2852ad76138b7757740a3934ce5f0a45,9999.0,2021-09-07T21:45:26.371418
22,Robotos,robotos-official,ROBO,0x099689220846644f87d1137665cded7bf3422747,0x4977824d1484ef684f51607abcab831c160158af,9999.0,2021-08-03T02:29:08.182073
